Date,Open,High,Low,Close,Adj Close,Var.Day(%),Class,Volume
2000-01-03,17098,17408,16719,16930,16930,-0.98,Baixa,0
2000-01-04,16908,16908,15851,15851,15851,-6.37,Baixa,0
2000-01-05,15871,16302,15350,16245,16245,2.49,Alta,0
2000-01-06,16237,16499,15977,16107,16107,-0.85,Baixa,0
2000-01-07,16125,16449,16125,16309,16309,1.25,Alta,0
2000-01-10,16325,17057,16325,17022,17022,4.37,Alta,0
2000-01-11,17045,17197,16573,16573,16573,-2.64,Baixa,0
2000-01-12,16574,16724,16331,16617,16617,0.27,Alta,0
2000-01-13,16663,17715,16663,17298,17298,4.10,Alta,0
2000-01-14,17306,17800,17306,17658,17658,2.08,Alta,0
2000-01-17,17678,18099,17678,18053,18053,2.24,Alta,0
2000-01-18,18062,18062,17625,17903,17903,-0.83,Baixa,0
2000-01-19,17905,18075,17470,17470,17470,-2.42,Baixa,0
2000-01-20,17487,17622,17029,17177,17177,-1.68,Baixa,0
2000-01-21,17188,17372,16901,17034,17034,-0.83,Baixa,0
2000-01-24,17049,17263,16972,16972,16972,-0.36,Baixa,0
2000-01-26,16972,17105,16727,17105,17105,0.78,Alta,0
2000-01-27,17114,17422,17081,17081,17081,-0.14,Baixa,0
2000-01-28,17150,17252,16547,16734,16734,-2.03,Baixa,0
2000-01-31,16744,16749,16167,16388,16388,-2.07,Baixa,0
2000-02-01,16389,16675,16389,16522,16522,0.82,Alta,0
2000-02-02,16546,16875,16546,16868,16868,2.09,Alta,0
2000-02-03,16892,17457,16892,17457,17457,3.49,Alta,0
2000-02-04,17471,17962,17471,17932,17932,2.72,Alta,0
2000-02-07,17937,18126,17746,18126,18126,1.08,Alta,0
2000-02-08,18249,18729,18249,18686,18686,3.09,Alta,0
2000-02-09,18759,18886,18224,18361,18361,-1.74,Baixa,0
2000-02-10,18367,18672,18155,18604,18604,1.32,Alta,0
2000-02-11,18635,18775,18027,18083,18083,-2.80,Baixa,0
2000-02-14,18083,18264,17746,17819,17819,-1.46,Baixa,0
2000-02-15,17818,17932,17451,17921,17921,0.57,Alta,0
2000-02-16,17921,18247,17743,18112,18112,1.07,Alta,0
2000-02-17,18116,18297,17979,17979,17979,-0.73,Baixa,0
2000-02-18,17979,18008,17489,17625,17625,-1.97,Baixa,0
2000-02-21,17626,17887,17364,17700,17700,0.43,Alta,0
2000-02-22,17698,17913,17466,17489,17489,-1.19,Baixa,0
2000-02-23,17489,17855,17479,17833,17833,1.97,Alta,0
2000-02-24,17846,18119,17706,17776,17776,-0.32,Baixa,0
2000-02-25,17784,17988,17758,17787,17787,0.06,Alta,0
2000-02-28,17787,17787,17383,17543,17543,-1.37,Baixa,0
2000-02-29,17545,17818,17545,17660,17660,0.67,Alta,0
2000-03-01,17668,17953,17655,17953,17953,1.66,Alta,0
2000-03-02,17966,18154,17809,18016,18016,0.35,Alta,0
2000-03-03,18016,18632,18016,18632,18632,3.42,Alta,0
2000-03-08,18617,18617,18184,18283,18283,-1.87,Baixa,0
2000-03-09,18285,18650,18285,18650,18650,2.01,Alta,0
2000-03-10,18650,18720,18233,18280,18280,-1.98,Baixa,0
2000-03-13,18279,18279,17506,17595,17595,-3.75,Baixa,0
2000-03-14,17595,17941,17222,17222,17222,-2.12,Baixa,0
2000-03-15,17229,17469,16922,17382,17382,0.93,Alta,0
2000-03-16,17397,17661,17397,17642,17642,1.50,Alta,0
2000-03-17,17654,17733,17470,17511,17511,-0.74,Baixa,0
2000-03-20,17511,17733,17435,17526,17526,0.09,Alta,0
2000-03-21,17528,18343,17510,18343,18343,4.66,Alta,0
